T3144 22808:445 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22808:647 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22808:848 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22809:049 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22809:252 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22809:452 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22809:652 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22809:853 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22810:055 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22810:258 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22810:460 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22810:662 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22810:862 JLINK_IsHalted()  returns FALSE (0002ms, 141258ms total)
T3144 22811:064 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22811:266 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22811:468 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22811:669 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22811:870 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22812:070 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22812:272 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
T3144 22812:472 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22812:673 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22812:875 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22813:076 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22813:277 JLINK_IsHalted()  returns FALSE (0001ms, 141257ms total)
T3144 22813:478 JLINK_IsHalted()  returns FALSE (0000ms, 141256ms total)
